City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Adamstown,-25.066,-130.1015,24.36,84,100,5.04,PN,1705909344
1,Papatowai,-46.5619,169.4708,15.37,94,94,1.74,NZ,1705909345
2,Mragowo,53.8644,21.3051,0.0,80,100,8.31,PL,1705909347
3,Port-Aux-Francais,-49.35,70.2167,6.12,80,91,11.98,TF,1705909348
4,Pampierstad,-27.7832,24.6877,30.28,25,1,1.35,ZA,1705909350
5,Ryotsu-Minato,38.0833,138.4333,8.29,83,100,3.05,JP,1705909351
6,Isafjordur,66.0755,-23.124,-4.98,74,100,5.14,IS,1705909353
7,Bayanhongor,46.7167,100.1167,-20.81,84,4,0.81,MN,1705909354
8,Freetown,8.484,-13.2299,25.68,80,6,1.47,SL,1705909356
9,Blackmans Bay,-43.0167,147.3167,14.07,60,45,0.89,AU,1705909357
10,Waitangi,-43.9535,-176.5597,18.23,94,100,4.92,NZ,1705909359
11,Longyearbyen,78.2186,15.6401,-8.09,45,0,8.23,SJ,1705909360
12,Margaret River,-33.95,115.0667,21.53,59,0,5.25,AU,1705909362
13,Yellapur,14.9667,74.7167,34.08,20,59,2.48,IN,1705909364
14,Gamba,-2.65,10.0,27.03,82,100,1.87,GA,1705909365
15,Magadan,59.5667,150.8,-34.71,99,63,1.74,RU,1705909367
16,Thompson,55.7435,-97.8558,-20.91,77,0,4.12,CA,1705909369
17,Talnakh,69.4865,88.3972,-10.44,95,100,5.51,RU,1705909370
18,Port Mathurin,-19.6833,63.4167,28.67,86,58,9.71,MU,1705909372
19,Tiksi,71.6872,128.8694,-28.14,93,100,10.34,RU,1705909373
20,Nacala,-14.5428,40.6728,28.62,78,75,4.12,MZ,1705909375
21,Kamaishi,39.2667,141.8833,6.26,86,100,4.79,JP,1705909377
22,Ilulissat,69.2167,-51.1,-11.99,61,75,10.8,GL,1705909379
23,Bilibino,68.0546,166.4372,-15.06,97,100,1.79,RU,1705909380
